City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Asau,RO,46.4333,26.4,72.52,79,97,3.38,overcast clouds
153,Shieli,KZ,44.1667,66.75,76.55,21,52,5.3,broken clouds
154,Moose Factory,CA,51.2585,-80.6094,51.8,93,100,6.91,overcast clouds
155,Coquimbo,CL,-29.9533,-71.3436,60.53,38,0,5.75,clear sky
156,Jutai,BR,-5.1833,-68.9,73.83,97,100,2.42,overcast clouds
157,Wajir,KE,1.7471,40.0573,85.96,48,40,6.91,scattered clouds
158,Noumea,NC,-22.2763,166.4572,72.0,99,7,2.71,clear sky
159,Ulladulla,AU,-35.35,150.4667,50.77,63,13,11.01,few clouds
160,Tateyama,JP,34.9833,139.8667,70.11,73,92,7.81,overcast clouds
161,Matara,LK,5.9485,80.5353,77.74,90,28,9.06,scattered clouds
162,Codrington,AU,-38.2667,141.9667,48.87,87,99,19.39,overcast clouds
163,Bartica,GY,6.4,-58.6167,84.52,87,95,2.44,overcast clouds
164,Torun,PL,53.0137,18.5981,71.8,61,86,1.01,overcast clouds
165,Norman Wells,CA,65.282,-126.8329,42.84,75,100,6.91,overcast clouds
166,Kartaly,RU,53.0522,60.6467,52.84,59,100,8.63,overcast clouds
167,Kaeo,NZ,-35.1,173.7833,50.32,95,98,3.18,overcast clouds
168,Ingham,US,42.6,-84.3833,72.18,47,40,5.75,scattered clouds
169,Kinablangan,PH,7.6947,126.5503,77.92,86,89,4.74,overcast clouds
170,Kamenka,RU,51.3223,42.7678,61.03,80,1,8.46,clear sky
171,Sao Sebastiao,BR,-23.76,-45.4097,66.54,87,93,7.36,overcast clouds
172,Yalova,TR,40.655,29.2769,72.54,73,0,9.8,clear sky
173,Grand Baie,MU,-20.0182,57.5802,75.67,71,30,5.01,scattered clouds
174,Camocim,BR,-2.9022,-40.8411,81.91,72,62,6.78,broken clouds
175,Sambava,MG,-14.2667,50.1667,73.38,81,5,14.43,light rain
176,Puerto Madryn,AR,-42.7692,-65.0385,55.11,48,99,11.63,overcast clouds
177,Vinh Yen,VN,21.31,105.5967,84.15,83,98,4.29,overcast clouds
178,Basco,PH,20.4487,121.9702,84.07,80,95,14.41,overcast clouds
179,Sao Filipe,CV,14.8961,-24.4956,78.69,60,13,7.78,few clouds
180,Abu Kamal,SY,34.4506,40.9171,99.18,12,97,6.06,overcast clouds
181,Carnarvon,AU,-24.8667,113.6333,69.6,38,100,13.38,overcast clouds
182,Alice Springs,AU,-23.7,133.8833,47.75,100,40,4.61,scattered clouds
183,Lagoa,PT,39.05,-27.9833,64.83,88,100,20.27,overcast clouds
184,Port Elizabeth,ZA,-33.918,25.5701,62.89,81,20,19.57,few clouds
185,Gondar,ET,12.6,37.4667,64.24,64,42,6.89,scattered clouds
186,Tsiroanomandidy,MG,-18.7667,46.0333,64.92,60,5,3.31,clear sky
187,Beloha,MG,-25.1667,45.05,67.21,76,7,15.48,clear sky
188,Airai,TL,-8.9266,125.4092,59.92,94,85,1.36,overcast clouds
189,Auki,SB,-8.7676,160.7034,77.99,87,89,3.98,overcast clouds
190,Guerrero Negro,MX,27.9769,-114.0611,67.57,66,72,15.08,broken clouds
191,Dikson,RU,73.5069,80.5464,27.14,93,30,7.27,scattered clouds
192,Prince Rupert,CA,54.3161,-130.3201,53.29,88,100,3.44,overcast clouds
193,Geraldton,AU,-28.7667,114.6,52.21,66,100,9.22,overcast clouds
194,Mount Gambier,AU,-37.8333,140.7667,48.56,76,100,16.26,overcast clouds
195,Iqaluit,CA,63.7506,-68.5145,47.93,57,20,3.44,few clouds
196,Epe,NG,6.5841,3.9834,83.52,71,81,8.59,broken clouds
197,Yakeshi,CN,49.2833,120.7333,54.45,71,100,17.76,overcast clouds
198,Taoudenni,ML,22.6783,-3.9836,113.59,6,13,8.97,few clouds
199,Kurchum,KZ,48.5722,83.6542,56.07,77,64,6.62,light rain
