City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
376,Salinopolis,BR,81.9,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
377,Eyl,SO,79.93,few clouds,7.9803,49.8164,Amiin Hotel
378,Bairiki,KI,77.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
380,Natal,BR,86.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
381,Alyangula,AU,76.05,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
384,Merauke,ID,77.22,overcast clouds,-8.4667,140.3333,Shell Qianjiang City Qianjiang bus station Hotel
385,Narasannapeta,IN,82.9,overcast clouds,18.4167,84.05,AVK events and catering
387,Wukari,NG,83.17,overcast clouds,7.85,9.7833,Elimtop
390,Donskoye,RU,80.19,clear sky,45.4552,41.9741,Shell Qianjiang City Qianjiang bus station Hotel
394,Neyshabur,IR,75.51,few clouds,36.2133,58.7958,Amiran Hotel & Commercial Complex
398,San Pedro,PH,83.43,scattered clouds,14.35,121.0167,Esquivel's Garden And Resort
399,Kindu,CD,78.13,broken clouds,-2.95,25.95,Résidence Okanda
402,Pangai,TO,77.85,clear sky,-19.8,-174.35,Ha'apai Beach Resort
404,Bubaque,GW,80.44,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
406,Teluknaga,ID,80.19,few clouds,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
412,Nevsehir,TR,81.61,scattered clouds,38.9167,34.6667,Shell Qianjiang City Qianjiang bus station Hotel
413,Mangaluru,IN,85.06,scattered clouds,12.8667,74.8833,Goldfinch Hotel Mangaluru
415,Oriximina,BR,87.51,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
419,Brokopondo,SR,84.09,broken clouds,4.75,-55.1667,Matu Island
424,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
428,Colombia,CU,88.39,broken clouds,20.9881,-77.4297,Casa Lazara y Pupi
429,Birjand,IR,75.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
430,Caravelas,BR,75.78,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
434,Gwadar,PK,84.67,clear sky,25.1216,62.3254,Sadaf Resort
438,Ixtapa,MX,89.13,scattered clouds,20.7,-105.2,hotel la terminal
446,Iturama,BR,84.88,few clouds,-19.7281,-50.1956,República DominaCana
453,Rincon,US,84.85,thunderstorm,32.296,-81.2354,Days Inn Rincon
455,Guadalupe Y Calvo,MX,76.23,clear sky,26.1,-106.9667,Hotel Pizarro
456,Livno,BA,80.76,overcast clouds,43.8269,17.0078,Hotel Dinara
457,Sterling,US,84.25,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
464,Culaman,PH,79.88,scattered clouds,5.9603,125.6586,Jasmin Ex House
465,Bacsay,PH,78.31,overcast clouds,15.65,120.3333,Shell Qianjiang City Qianjiang bus station Hotel
471,Keratea,GR,88.5,few clouds,37.8073,23.9769,Keratea Luxury Villa -Athens Airport
472,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
483,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
486,Kasongo-Lunda,CD,77.36,few clouds,-6.4667,16.8167,Shell Qianjiang City Qianjiang bus station Hotel
490,Celestun,MX,83.08,scattered clouds,20.8667,-90.4,Posada Lilia
492,Vaitape,PF,79.97,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
495,Uarini,BR,79.45,light rain,-2.99,-65.1083,Shell Qianjiang City Qianjiang bus station Hotel
496,San Cristobal,VE,79.56,broken clouds,7.7669,-72.225,Pirineos
498,Kieta,PG,78.69,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
499,Praia,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
