City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,Fort-Shevchenko,44.5086,50.263,76.21,35,0,8.66,KZ,2022-05-31 23:22:31
127,Hualmay,-11.0964,-77.6139,63.79,79,73,10.2,PE,2022-05-31 23:22:31
128,San Carlos,9.6612,-68.5827,83.62,53,51,2.62,VE,2022-05-31 23:22:31
129,Cabo San Lucas,22.8909,-109.9124,90.61,36,0,9.22,MX,2022-05-31 23:21:39
130,Ozinki,51.1786,49.6769,57.04,69,39,7.31,RU,2022-05-31 23:22:31
131,Mujiayingzi,42.1167,118.7833,62.51,32,1,8.28,CN,2022-05-31 23:22:32
132,Maceio,-9.6658,-35.7353,76.44,94,40,3.44,BR,2022-05-31 23:21:34
133,Roald,62.5833,6.1333,55.9,87,75,10.36,NO,2022-05-31 23:23:32
134,Haines Junction,60.7522,-137.5108,75.15,16,7,6.91,CA,2022-05-31 23:23:32
135,Abalak,58.1286,68.5944,42.39,73,6,8.84,RU,2022-05-31 23:22:29
136,Iqaluit,63.7506,-68.5145,37.13,74,40,3.44,CA,2022-05-31 23:23:33
137,Port Hedland,-20.3167,118.5667,57.25,88,100,11.5,AU,2022-05-31 23:19:48
138,Mabaruma,8.2,-59.7833,74.34,91,86,3.42,GY,2022-05-31 23:23:33
139,Luderitz,-26.6481,15.1594,64.42,33,0,8.19,NA,2022-05-31 23:23:33
140,Puerto Carreno,6.189,-67.4859,78.78,89,75,3.44,CO,2022-05-31 23:23:33
141,Torbay,47.6666,-52.7314,41.88,95,100,17.0,CA,2022-05-31 23:23:34
142,Geraldton,-28.7667,114.6,43.21,87,0,8.05,AU,2022-05-31 23:23:34
143,Arkadelphia,34.1209,-93.0538,90.57,59,40,4.61,US,2022-05-31 23:23:34
144,Whitianga,-36.8333,175.7,65.23,80,5,14.74,NZ,2022-05-31 23:19:23
145,Olafsvik,64.8945,-23.7142,47.8,94,94,2.86,IS,2022-05-31 23:23:34
146,Tulun,54.5611,100.5792,50.95,75,60,2.73,RU,2022-05-31 23:23:35
147,Port Elizabeth,-33.918,25.5701,57.31,65,0,6.91,ZA,2022-05-31 23:23:35
148,Bichura,50.5881,107.6022,54.77,70,91,2.42,RU,2022-05-31 23:23:35
149,Antalaha,-14.9003,50.2788,67.05,83,3,6.91,MG,2022-05-31 23:23:35
150,Kapaa,22.0752,-159.319,82.38,72,0,11.5,US,2022-05-31 23:23:36
151,Pouembout,-21.1333,164.9,83.39,63,93,2.06,NC,2022-05-31 23:23:36
152,Adrar,20.5022,-10.0711,89.56,18,73,22.73,MR,2022-05-31 23:23:36
153,Wenling,28.3669,121.36,69.57,99,100,8.23,CN,2022-05-31 23:23:36
154,Caravelas,-17.7125,-39.2481,73.27,91,9,5.01,BR,2022-05-31 23:23:37
155,Havelock,34.8791,-76.9013,84.16,74,0,8.05,US,2022-05-31 23:23:37
156,Castanos,26.7833,-101.4167,98.35,22,40,28.77,MX,2022-05-31 23:23:37
157,Straumen,63.8709,11.2999,51.8,84,100,5.08,NO,2022-05-31 23:23:38
158,Berlevag,70.8578,29.0864,40.8,93,20,12.66,NO,2022-05-31 23:23:38
159,Airai,-8.9266,125.4092,62.96,85,100,1.03,TL,2022-05-31 23:23:38
160,Ontario,34.0633,-117.6509,90.41,39,0,14.97,US,2022-05-31 23:23:02
161,Pevek,69.7008,170.3133,34.03,88,100,1.81,RU,2022-05-31 23:22:13
162,Itabera,-23.8619,-49.1372,56.64,97,100,10.33,BR,2022-05-31 23:23:38
163,Lubigan,13.742,122.9373,78.67,86,99,1.86,PH,2022-05-31 23:23:39
164,Bilibino,68.0546,166.4372,59.18,47,74,6.11,RU,2022-05-31 23:23:39
165,Northam,51.0333,-4.2167,51.62,82,5,6.58,GB,2022-05-31 23:23:39
166,Hailar,49.2,119.7,55.51,44,97,4.47,CN,2022-05-31 23:23:39
167,Bintulu,3.1667,113.0333,77.41,94,20,3.44,MY,2022-05-31 23:23:40
168,Marsberg,51.4617,8.8495,51.35,92,44,3.27,DE,2022-05-31 23:23:40
169,Lompoc,34.6391,-120.4579,79.02,62,0,21.99,US,2022-05-31 23:23:40
170,Itarema,-2.9248,-39.9167,78.33,83,22,10.85,BR,2022-05-31 23:23:41
171,Hilo,19.7297,-155.09,90.28,71,0,8.05,US,2022-05-31 23:23:41
172,Kyra,49.5776,111.9753,54.7,57,27,7.49,RU,2022-05-31 23:23:41
173,Machaneng,-23.1862,27.4886,51.55,19,0,6.29,BW,2022-05-31 23:23:41
174,Ulladulla,-35.35,150.4667,49.1,55,1,17.9,AU,2022-05-31 23:23:42
175,Christchurch,-43.5333,172.6333,59.41,79,88,10.36,NZ,2022-05-31 23:23:42
176,Roma,43.2128,-75.4557,84.34,54,0,8.05,US,2022-05-31 23:21:21
177,Petropavlovsk-Kamchatskiy,53.0452,158.6483,45.19,71,75,4.47,RU,2022-05-31 23:24:42
178,Yellowknife,62.456,-114.3525,63.12,25,20,9.22,CA,2022-05-31 23:24:42
